speedLimit,distance,segmentProbeCounts_num,emissionProxy,isHighway,temp,rhum,wspd,pres,cldc,coco,hour,day,month,y_true,y_pred
50,130.89,53280,6973819.199999999,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
60,114.77,365,41891.05,1,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
40,26.17,81753,2139476.01,1,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
60,57.5,24498,1408635.0,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
60,8.6,7988,68696.8,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
30,7.66,5109,39134.94,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
60,25.46,109670,2792198.2,1,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
80,76.58,917,70223.86,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
40,169.93,30623,5203766.390000001,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
80,18.82,387247,7287988.54,1,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
60,93.38,128412,11991112.56,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
40,9.83,95852,942225.16,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
60,14.66,8472,124199.52,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
60,4.92,154285,759082.2,1,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
30,11.7,5013,58652.1,1,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
30,321.81,16273,5236814.13,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
60,93.73,224882,21078189.86,1,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
60,12.16,25977,315880.32,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
30,26.36,30070,792645.2,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
80,18.01,1758,31661.58,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
50,83.16,55973,4654714.68,1,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
70,45.89,257684,11825118.76,1,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
50,12.37,306545,3791961.65,1,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
60,34.63,13357,462552.91,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
60,89.92,18483,1661991.36,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
80,91.04,83968,7644446.720000001,1,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
40,9.05,81809,740371.4500000001,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
60,73.02,11874,867039.48,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
60,27.19,53522,1455263.1800000002,1,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
80,3313.0,0,0.0,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
60,30.98,49155,1522821.9,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
30,22.66,34017,770825.22,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
40,45.52,100976,4596427.5200000005,1,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
30,14.08,65523,922563.84,1,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
60,28.03,115109,3226505.27,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
60,4.0,10522,42088.0,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
60,55.19,9559,527561.21,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
60,23.77,43096,1024391.92,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
40,19.96,7517,150039.32,1,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
60,48.17,14954,720334.18,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
60,38.75,22840,885050.0,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
80,96.33,83507,8044229.31,1,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
80,37.33,40622,1516419.26,1,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
60,89.82,2733,245478.06,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
100,52.96,11454,606603.84,1,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
60,42.12,19893,837893.1599999999,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
60,39.66,65838,2611135.08,1,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
60,12.59,118137,1487344.83,1,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
60,108.13,6626,716469.38,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
30,5.04,31670,159616.8,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
60,45.58,126500,5765870.0,1,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
80,100.9,5447,549602.3,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
60,15.53,94,1459.82,1,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
40,25.95,315524,8187847.8,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
60,16.46,72208,1188543.6800000002,0,20.0,43.0,11.1,1018.0,0.0,1.0,0,1,1,0.0039,0.0038999999999990965
