datetime,co,no,no2,nox,o3,pm10,pm25,so2,temp,rhum,prcp,wdir,wspd,wpgt,pres,cldc,coco
2023-08-01 17:00:00+00:00,0.9293333333333335,0.011049999999999999,0.015099999999999983,0.025966666666666666,0.040183333333333335,59.166666666666664,24.25,0.008083333333333316,33.733333333333334,46.666666666666664,0.0,106.66666666666667,12.4,,1016.9333333333334,0.6666666666666666,1.0
2023-08-01 18:00:00+00:00,0.8475,0.006599999999999967,0.009733333333333316,0.01615,0.04936666666666667,54.833333333333336,25.75,0.0067666666666666665,35.06666666666667,41.333333333333336,0.0,124.66666666666667,11.066666666666668,,1016.5333333333333,2.0,1.0
2023-08-01 19:00:00+00:00,0.7973333333333333,0.0063999999999999994,0.009083333333333332,0.015316666666666666,0.046283333333333336,48.666666666666664,21.368000000000002,0.005233333333333333,36.13333333333333,37.333333333333336,0.0,120.0,9.866666666666667,,1015.5333333333333,2.0,1.0
2023-08-01 20:00:00+00:00,0.7888333333333333,0.006066666666666667,0.0083,0.014183333333333333,0.04373333333333334,43.666666666666664,19.3475,0.004249999999999984,37.266666666666666,31.666666666666668,0.0,113.33333333333333,12.200000000000001,,1014.5333333333333,2.3333333333333335,1.3333333333333333
2023-08-01 21:00:00+00:00,0.7801666666666667,0.006133333333333317,0.007766666666666667,0.01461999999999998,0.04108333333333333,39.0,17.016,0.0039000000000000003,37.800000000000004,30.666666666666668,0.0,106.66666666666667,11.866666666666667,,1013.5666666666666,2.3333333333333335,1.6666666666666667
2023-08-01 22:00:00+00:00,0.7826666666666666,0.006083333333333333,0.008016666666666667,0.013916666666666666,0.03879999999999998,41.333333333333336,13.947999999999999,0.0038666666666666663,38.0,27.666666666666668,0.0,90.0,12.866666666666667,,1013.2666666666668,2.0,1.6666666666666667
2023-08-01 23:00:00+00:00,0.9468,0.006749999999999999,0.009433333333333299,0.015999999999999983,0.03626666666666667,35.833333333333336,9.482,0.0036333333333333166,37.6,27.0,0.0,103.33333333333333,12.866666666666667,,1012.6999999999999,0.6666666666666666,1.6666666666666667
2023-08-02 00:00:00+00:00,0.9667999999999999,0.00735,0.010700000000000001,0.017916666666666668,0.029066666666666668,33.0,5.634,0.0030333333333333336,36.733333333333334,27.666666666666668,0.0,110.0,14.200000000000001,,1012.5333333333333,0.3333333333333333,1.0
2023-08-02 01:00:00+00:00,0.84,0.006850000000000001,0.011816666666666668,0.018516666666666636,0.023783333333333333,36.5,6.205,0.0028166666666666665,35.53333333333333,30.333333333333332,0.0,106.66666666666667,9.866666666666667,,1012.9,1.0,1.0
2023-08-02 02:00:00+00:00,0.9724,0.006483333333333317,0.008983333333333334,0.015266666666666666,0.022099999999999998,38.833333333333336,6.416666666666667,0.00325,34.06666666666667,39.0,0.0,100.0,19.533333333333335,,1013.6999999999999,1.6666666666666667,1.6666666666666667
2023-08-02 03:00:00+00:00,0.923,0.005583333333333333,0.006216666666666651,0.011633333333333334,0.020050000000000002,56.5,10.756666666666666,0.0027166666666666663,31.866666666666664,49.0,0.0,120.0,23.2,,1015.3000000000001,1.0,1.6666666666666667
2023-08-02 04:00:00+00:00,0.7596666666666666,0.00585,0.00651666666666665,0.012150000000000001,0.018533333333333332,50.0,9.013333333333334,0.0027500000000000003,30.2,52.666666666666664,0.0,102.0,21.8,,1016.9666666666667,1.3333333333333333,1.6666666666666667
2023-08-02 05:00:00+00:00,0.9336,0.005233333333333316,0.00606666666666665,0.0110833333333333,0.01831666666666665,33.833333333333336,9.146666666666667,0.0029666666666666665,29.03333333333333,58.333333333333336,0.0,100.33333333333333,23.03333333333333,,1017.3333333333334,0.3333333333333333,1.0
2023-08-02 06:00:00+00:00,0.8937999999999999,0.004666666666666667,0.005816666666666667,0.010283333333333334,0.018483333333333317,26.166666666666668,6.36,0.0036999999999999997,27.066666666666666,68.66666666666667,0.0,136.33333333333334,16.933333333333334,,1017.3666666666667,0.6666666666666666,1.0
2023-08-02 07:00:00+00:00,0.925,0.004433333333333316,0.006166666666666633,0.010400000000000001,0.017833333333333336,26.666666666666668,6.48,0.0038333333333333166,26.599999999999998,71.33333333333333,0.0,122.33333333333333,14.766666666666666,,1016.7666666666668,0.6666666666666666,1.3333333333333333
2023-08-02 08:00:00+00:00,0.9225999999999999,0.0047799999999999804,0.006016666666666667,0.01016666666666665,0.016333333333333335,23.333333333333332,8.5125,0.004066666666666667,25.933333333333334,73.66666666666667,0.0,118.33333333333333,14.066666666666668,,1015.9333333333334,0.6666666666666666,1.0
2023-08-02 09:00:00+00:00,0.7721666666666667,0.005083333333333317,0.007516666666666667,0.01241666666666665,0.013983333333333334,25.333333333333332,7.19,0.0036833333333333336,25.599999999999998,75.0,0.0,103.66666666666667,9.866666666666665,,1015.5666666666666,1.0,1.0
2023-08-02 10:00:00+00:00,0.7443333333333334,0.00505,0.006833333333333316,0.011716666666666651,0.013833333333333335,25.833333333333332,7.35,0.003116666666666667,24.833333333333332,76.0,0.0,158.0,9.700000000000001,,1015.9,0.6666666666666666,1.3333333333333333
2023-08-02 11:00:00+00:00,0.7795,0.01025,0.009733333333333316,0.019849999999999982,0.011166666666666667,32.333333333333336,6.4239999999999995,0.00305,24.833333333333332,76.66666666666667,0.0,148.66666666666666,9.5,,1016.1,0.0,1.0
